GEOID10,pop,sldl_2017,sldl_2000,sldu_2017,sldu_2000,sldl_2013,sldu_2018,sldl_2018,cd_2003,sldu_2014,sldl_2010,sldl_2014,sldu_2013,sldu_2010,sldl_2015
020130001001110,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002079,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002095,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001001122,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002166,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002191,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001001284,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002167,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002037,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002177,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002253,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002215,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002309,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002113,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001001283,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002227,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002254,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002111,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002228,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002070,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002400,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002096,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001003125,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002029,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001003148,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001003244,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002058,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002030,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002112,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001003151,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002389,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002287,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002071,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001002117,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001001164,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
020130001001124,0,037,040,00S,T,037,00S,037,0.0,00S,037,037,00S,00S,037
