GEOID10,pop,sldl_2000,cd_2013,sldl_2013,sldu_2000,cd_2003,sldl_2010,sldu_2013,sldu_2010
090010101011000,0,149,004,149,036,004,149,036,036
090010101011001,288,149,004,149,036,004,149,036,036
090010101011002,2,149,004,149,036,004,149,036,036
090010101011003,0,149,004,149,036,004,149,036,036
090010101011004,0,149,004,149,036,004,149,036,036
090010101011005,0,149,004,149,036,004,149,036,036
090010101011006,0,149,004,149,036,004,149,036,036
090010101011007,69,149,004,149,036,004,149,036,036
090010101011008,18,149,004,149,036,004,149,036,036
090010101011009,92,149,004,149,036,004,149,036,036
090010101011010,102,149,004,149,036,004,149,036,036
090010101011011,2,149,004,149,036,004,149,036,036
090010101011012,153,149,004,149,036,004,149,036,036
090010101011013,0,149,004,149,036,004,149,036,036
090010101011014,0,149,004,149,036,004,149,036,036
090010101011015,0,149,004,149,036,004,149,036,036
090010101011016,0,149,004,149,036,004,149,036,036
090010101012000,0,149,004,149,036,004,149,036,036
090010101012001,180,149,004,149,036,004,149,036,036
090010101012002,20,149,004,149,036,004,149,036,036
090010101012003,0,149,004,149,036,004,149,036,036
090010101012004,2,149,004,149,036,004,149,036,036
090010101012005,2,149,004,149,036,004,149,036,036
090010101012006,0,149,004,149,036,004,149,036,036
090010101012007,0,149,004,149,036,004,149,036,036
090010101012008,10,149,004,149,036,004,149,036,036
090010101012009,32,149,004,149,036,004,149,036,036
090010101012010,119,149,004,149,036,004,149,036,036
090010101012011,0,149,004,149,036,004,149,036,036
090010101012012,20,149,004,149,036,004,149,036,036
090010101012013,215,149,004,149,036,004,149,036,036
090010101012014,93,149,004,149,036,004,149,036,036
090010101012015,11,149,004,149,036,004,149,036,036
090010101012016,41,149,004,149,036,004,149,036,036
090010101012017,0,149,004,149,036,004,149,036,036
090010101013000,12,149,004,149,036,004,149,036,036
090010101013001,0,149,004,149,036,004,149,036,036
090010101013002,197,149,004,149,036,004,149,036,036
090010101013003,0,149,004,149,036,004,149,036,036
090010101013004,8,149,004,149,036,004,149,036,036
090010101013005,6,149,004,149,036,004,149,036,036
090010101013006,8,149,004,149,036,004,149,036,036
090010101013007,0,149,004,149,036,004,149,036,036
090010101013008,12,149,004,149,036,004,149,036,036
090010101013009,0,149,004,149,036,004,149,036,036
090010101013010,0,149,004,149,036,004,149,036,036
090010101013011,60,149,004,149,036,004,149,036,036
090010101013012,0,149,004,149,036,004,149,036,036
090010101013013,18,149,004,149,036,004,149,036,036
090010101013014,160,149,004,149,036,004,149,036,036
090010101013015,7,149,004,149,036,004,149,036,036
090010101013016,0,149,004,149,036,004,149,036,036
090010101013017,0,149,004,149,036,004,149,036,036
090010101013018,6,149,004,149,036,004,149,036,036
090010101013019,0,149,004,149,036,004,149,036,036
090010101013020,0,149,004,149,036,004,149,036,036
090010101013021,4,149,004,149,036,004,149,036,036
090010101013022,34,149,004,149,036,004,149,036,036
090010101013023,0,149,004,149,036,004,149,036,036
090010101013024,0,149,004,149,036,004,149,036,036
090010101013025,59,149,004,149,036,004,149,036,036
090010101013026,1,149,004,149,036,004,149,036,036
090010101013027,58,149,004,149,036,004,149,036,036
090010101013028,8,149,004,149,036,004,149,036,036
090010101013029,54,149,004,149,036,004,149,036,036
090010101013030,65,149,004,149,036,004,149,036,036
090010101013031,4,149,004,149,036,004,149,036,036
090010101013032,0,149,004,149,036,004,149,036,036
090010101013033,0,149,004,149,036,004,149,036,036
090010101013034,157,149,004,149,036,004,149,036,036
090010101013035,0,149,004,149,036,004,149,036,036
090010101013036,17,149,004,149,036,004,149,036,036
090010101013037,4,149,004,149,036,004,149,036,036
090010101013038,0,149,004,149,036,004,149,036,036
090010101013039,3,149,004,149,036,004,149,036,036
090010101013040,6,149,004,149,036,004,149,036,036
090010101013041,33,149,004,149,036,004,149,036,036
090010101013042,386,149,004,149,036,004,149,036,036
090010101013043,19,149,004,149,036,004,149,036,036
090010101013044,0,149,004,149,036,004,149,036,036
090010101013045,1,149,004,149,036,004,149,036,036
090010101013046,0,149,004,149,036,004,149,036,036
090010101013047,3,149,004,149,036,004,149,036,036
090010101013048,0,149,004,149,036,004,149,036,036
090010101013049,24,149,004,149,036,004,149,036,036
090010101013050,0,149,004,149,036,004,149,036,036
090010101013051,0,149,004,149,036,004,149,036,036
090010101013052,0,149,004,149,036,004,149,036,036
090010101013053,3,149,004,149,036,004,149,036,036
090010101013054,0,149,004,149,036,004,149,036,036
090010101013055,48,149,004,149,036,004,149,036,036
090010101013056,0,149,004,149,036,004,149,036,036
090010101014000,17,149,004,149,036,004,149,036,036
090010101014001,114,149,004,149,036,004,149,036,036
090010101014002,0,149,004,149,036,004,149,036,036
090010101014003,2,149,004,149,036,004,149,036,036
090010101014004,11,149,004,149,036,004,149,036,036
090010101014005,11,149,004,149,036,004,149,036,036
090010101014006,34,149,004,149,036,004,149,036,036
090010101014007,40,149,004,149,036,004,149,036,036
090010101014008,81,149,004,149,036,004,149,036,036
090010101014009,46,149,004,149,036,004,149,036,036
090010101014010,92,149,004,149,036,004,149,036,036
090010101014011,0,149,004,149,036,004,149,036,036
090010101014012,165,149,004,149,036,004,149,036,036
090010101014013,0,149,004,149,036,004,149,036,036
090010101014014,0,149,004,149,036,004,149,036,036
090010101014015,0,149,004,149,036,004,149,036,036
090010101014016,0,149,004,149,036,004,149,036,036
090010101014017,21,149,004,149,036,004,149,036,036
090010101014018,22,149,004,149,036,004,149,036,036
090010101014019,2,149,004,149,036,004,149,036,036
090010101014020,67,149,004,149,036,004,149,036,036
090010101014021,0,149,004,149,036,004,149,036,036
090010101014022,2,149,004,149,036,004,149,036,036
090010101014023,117,149,004,149,036,004,149,036,036
090010101014024,3,149,004,149,036,004,149,036,036
090010101014025,0,149,004,149,036,004,149,036,036
090010101014026,221,149,004,149,036,004,149,036,036
090010101014027,13,149,004,149,036,004,149,036,036
090010101014028,0,149,004,149,036,004,149,036,036
090010101014029,0,149,004,149,036,004,149,036,036
090010101014030,4,149,004,149,036,004,149,036,036
090010101014031,0,149,004,149,036,004,149,036,036
090010101014032,0,149,004,149,036,004,149,036,036
090010101014033,0,149,004,149,036,004,149,036,036
090010101014034,0,149,004,149,036,004,149,036,036
090010101014035,4,149,004,149,036,004,149,036,036
090010101014036,1,149,004,149,036,004,149,036,036
090010101014037,18,149,004,149,036,004,149,036,036
090010101014038,0,149,004,149,036,004,149,036,036
090010101014039,2,149,004,149,036,004,149,036,036
090010101014040,5,149,004,149,036,004,149,036,036
090010101014041,0,149,004,149,036,004,149,036,036
090010101014042,0,149,004,149,036,004,149,036,036
090010101014043,0,149,004,149,036,004,149,036,036
