GEOID10,pop,sldl_2000,sldl_2013,sldu_2000,cd_2003,sldl_2010,sldu_2013,sldu_2010
100010401001000,77,029,011,015,0,008,015,015
100010401001001,294,029,011,015,0,008,015,015
100010401001002,20,029,011,015,0,008,015,015
100010401001003,91,029,011,015,0,008,015,015
100010401001004,53,029,011,015,0,008,015,015
100010401001005,6,029,011,015,0,008,015,015
100010401001006,50,029,011,015,0,008,015,015
100010401001007,0,029,011,015,0,008,015,015
100010401001008,0,029,011,015,0,008,015,015
100010401001009,21,029,011,015,0,008,015,015
100010401001010,294,029,011,015,0,029,015,015
100010401001011,19,029,011,015,0,029,015,015
100010401001012,0,029,011,015,0,029,015,015
100010401001013,23,029,011,015,0,029,015,015
100010401001014,42,029,011,015,0,029,015,015
100010401001015,0,029,011,015,0,029,015,015
100010401001016,4,029,011,015,0,029,015,015
100010401001017,0,029,011,015,0,029,015,015
100010401001018,5,029,011,015,0,029,015,015
100010401001019,30,029,011,015,0,029,015,015
100010401001020,57,029,011,015,0,029,015,015
100010401001021,39,029,011,015,0,029,015,015
100010401001022,43,029,011,015,0,029,015,015
100010401001023,44,029,011,015,0,029,015,015
100010401001024,3,029,011,015,0,029,015,015
100010401001025,45,029,011,015,0,029,015,015
100010401001026,5,029,011,015,0,029,015,015
100010401001027,188,029,011,015,0,008,015,015
100010401001028,370,029,011,015,0,008,015,015
100010401001029,0,029,011,015,0,008,015,015
100010401001030,117,029,011,015,0,029,015,015
100010401001031,63,029,011,015,0,029,015,015
100010401001032,13,029,011,015,0,029,015,015
100010401001033,0,029,011,015,0,029,015,015
100010401001034,103,029,011,015,0,029,015,015
100010401001035,20,029,011,015,0,029,015,015
100010401001036,232,029,011,015,0,029,015,015
100010401001037,26,029,011,015,0,029,015,015
100010401001038,0,029,011,015,0,029,015,015
100010401001039,48,029,011,015,0,029,015,015
100010401001040,31,029,011,015,0,029,015,015
100010401001041,3,029,011,015,0,029,015,015
100010401001042,15,029,011,015,0,029,015,015
100010401001043,20,029,011,015,0,029,015,015
100010401001044,2,029,011,015,0,029,015,015
100010401001045,121,029,011,015,0,029,015,015
100010401002000,96,029,011,015,0,029,015,015
100010401002001,7,029,011,015,0,029,015,015
100010401002002,31,029,011,015,0,029,015,015
100010401002003,2,029,011,015,0,029,015,015
100010401002004,55,029,011,015,0,029,015,015
100010401002005,94,029,011,015,0,029,015,015
100010401002006,93,029,011,015,0,029,015,015
100010401002007,1,029,011,015,0,029,015,015
100010401002008,15,029,011,015,0,029,015,015
100010401002009,25,029,011,015,0,029,015,015
100010401002010,0,029,011,015,0,029,015,015
100010401002011,56,029,011,015,0,029,015,015
100010401002012,0,029,011,015,0,029,015,015
100010401002013,46,029,011,015,0,029,015,015
100010401002014,9,029,011,015,0,029,015,015
100010401002015,120,029,011,015,0,029,015,015
100010401002016,78,029,011,015,0,029,015,015
100010401002017,78,029,011,015,0,029,015,015
100010401002018,5,029,011,015,0,029,015,015
100010401002019,8,029,011,015,0,029,015,015
100010401002020,72,029,011,015,0,029,015,015
100010401002021,110,029,011,015,0,029,015,015
100010401002022,138,029,011,015,0,029,015,015
100010401002023,33,029,011,015,0,029,015,015
100010401002024,1,029,011,015,0,029,015,015
100010401002025,11,029,011,015,0,029,015,015
100010401002026,10,029,011,015,0,029,015,015
100010401002027,1,029,011,015,0,029,015,015
100010401002028,5,029,011,015,0,029,015,015
100010401002029,7,029,011,015,0,029,015,015
100010401002030,65,029,011,015,0,029,015,015
100010401002031,5,029,011,015,0,029,015,015
100010401002032,34,029,011,015,0,029,015,015
100010401002033,27,029,011,015,0,029,015,015
100010401002034,49,029,011,015,0,029,015,015
100010401002035,409,029,011,015,0,029,015,015
100010401002036,26,029,011,015,0,029,015,015
100010401002037,42,029,011,015,0,029,015,015
100010401002038,115,029,011,015,0,029,015,015
100010401002039,2,029,011,015,0,029,015,015
100010401002040,0,029,011,015,0,029,015,015
100010401002041,0,029,011,015,0,029,015,015
100010401002042,7,029,011,015,0,029,015,015
100010401002043,16,029,011,015,0,029,015,015
100010401002044,63,029,011,015,0,029,015,015
100010401002045,41,029,011,015,0,029,015,015
100010401002046,43,029,011,015,0,029,015,015
100010401002047,15,029,011,015,0,029,015,015
100010401002048,6,029,011,015,0,029,015,015
100010401002049,2,029,011,015,0,029,015,015
100010401003000,22,029,029,015,0,029,015,015
100010401003001,161,029,029,015,0,029,015,015
100010401003002,74,029,029,015,0,029,015,015
100010401003003,74,029,011,015,0,029,015,015
100010401003004,53,029,011,015,0,029,015,015
100010401003005,167,029,011,015,0,029,015,015
100010401003006,10,029,011,015,0,029,015,015
100010401003007,4,029,011,015,0,029,015,015
