GEOID10,pop,cd_2013,sldl_2016,sldl_2013,cd_2003,sldl_2010,sldu_2013,sldu_2010
150010201001000,1,002,001,001,002,001,004,001
150010201001001,123,002,001,001,002,001,004,001
150010201001002,16,002,001,001,002,001,004,001
150010201001003,11,002,001,001,002,001,004,001
150010201001004,1,002,001,001,002,001,004,001
150010201001005,24,002,001,001,002,001,004,001
150010201001006,27,002,001,001,002,001,004,001
150010201001007,0,002,001,001,002,001,004,001
150010201001008,0,002,001,001,002,001,004,001
150010201001009,0,002,001,001,002,001,004,001
150010201001010,0,002,001,001,002,001,004,001
150010201001011,0,002,001,001,002,001,004,001
150010201001012,0,002,001,001,002,001,004,001
150010201001013,0,002,001,001,002,001,004,001
150010201001014,0,002,001,001,002,001,004,001
150010201001015,0,002,001,001,002,001,004,001
150010201001016,3,002,001,001,002,001,004,001
150010201001017,0,002,001,001,002,001,004,001
150010201001018,0,002,001,001,002,001,004,001
150010201001019,0,002,001,001,002,001,004,001
150010201001020,0,002,001,001,002,001,004,001
150010201001021,0,002,001,001,002,001,004,001
150010201001022,0,002,001,001,002,001,004,001
150010201001023,5,002,001,001,002,001,004,001
150010201001024,0,002,001,001,002,001,004,001
150010201001025,0,002,001,001,002,001,004,001
150010201001026,0,002,001,001,002,001,004,001
150010201001027,0,002,001,001,002,001,004,001
150010201001028,0,002,001,001,002,001,004,001
150010201001029,0,002,001,001,002,001,004,001
150010201001030,0,002,001,001,002,001,004,001
150010201001031,0,002,001,001,002,001,004,001
150010201001032,0,002,001,001,002,001,004,001
150010201001033,0,002,001,001,002,001,004,001
150010201001034,3,002,001,001,002,001,004,001
150010201001035,0,002,001,001,002,001,004,001
150010201001036,0,002,001,001,002,001,004,001
150010201001037,0,002,001,001,002,001,004,001
150010201001038,0,002,001,001,002,001,004,001
150010201001039,0,002,001,001,002,001,004,001
150010201001040,0,002,001,001,002,001,004,001
150010201001041,0,002,001,001,002,001,004,001
150010201001042,0,002,001,001,002,001,004,001
150010201001043,0,002,001,001,002,001,004,001
150010201001044,0,002,001,001,002,001,004,001
150010201001045,0,002,001,001,002,001,004,001
150010201001046,0,002,001,001,002,001,004,001
150010201001047,6,002,001,001,002,001,004,001
150010201001048,0,002,001,001,002,001,004,001
150010201001049,0,002,001,001,002,001,004,001
150010201001050,0,002,001,001,002,001,004,001
150010201001051,0,002,001,001,002,001,004,001
150010201001052,0,002,001,001,002,001,004,001
150010201001053,0,002,001,001,002,001,004,001
150010201001054,0,002,001,001,002,001,004,001
150010201001055,0,002,001,001,002,001,004,001
150010201001056,4,002,001,001,002,001,004,001
150010201001057,0,002,001,001,002,001,004,001
150010201001058,6,002,001,001,002,001,004,001
150010201001059,0,002,001,001,002,001,004,001
150010201001060,0,002,001,001,002,001,004,001
150010201001061,0,002,001,001,002,001,004,001
150010201001062,0,002,001,001,002,001,004,001
150010201001063,0,002,001,001,002,001,004,001
150010201001064,0,002,001,001,002,001,004,001
150010201001065,0,002,001,001,002,001,004,001
150010201001066,0,002,001,001,002,001,004,001
150010201001067,0,002,001,001,002,001,004,001
150010201001068,0,002,001,001,002,001,004,001
150010201001069,0,002,001,001,002,001,004,001
150010201001070,6,002,001,001,002,001,004,001
150010201001071,0,002,001,001,002,001,004,001
150010201001072,0,002,001,001,002,001,004,001
150010201001073,0,002,001,001,002,001,004,001
150010201001074,0,002,001,001,002,001,004,001
150010201001075,8,002,001,001,002,001,004,001
150010201001076,0,002,001,001,002,001,004,001
150010201001077,0,002,001,001,002,001,004,001
150010201001078,0,002,001,001,002,001,004,001
150010201001079,0,002,001,001,002,001,004,001
150010201001080,14,002,001,001,002,001,004,001
150010201001081,0,002,001,001,002,001,004,001
150010201001082,0,002,001,001,002,001,004,001
150010201001083,0,002,001,001,002,001,004,001
150010201001084,0,002,001,001,002,001,004,001
150010201001085,0,002,001,001,002,001,004,001
150010201001086,0,002,001,001,002,001,004,001
150010201001087,0,002,001,001,002,001,004,001
150010201001088,0,002,001,001,002,001,004,001
150010201001089,0,002,001,001,002,001,004,001
150010201001090,0,002,001,001,002,001,004,001
150010201001091,0,002,001,001,002,001,004,001
150010201001092,0,002,001,001,002,001,004,001
150010201001093,0,002,001,001,002,001,004,001
150010201001094,0,002,001,001,002,001,004,001
150010201001095,0,002,001,001,002,001,004,001
150010201001096,0,002,001,001,002,001,004,001
150010201001097,0,002,001,001,002,001,004,001
150010201001098,3,002,001,001,002,001,004,001
150010201001099,0,002,001,001,002,001,004,001
150010201001100,0,002,001,001,002,001,004,001
150010201001101,0,002,001,001,002,001,004,001
150010201001102,0,002,001,001,002,001,004,001
150010201001103,2,002,001,001,002,001,004,001
150010201001104,0,002,001,001,002,001,004,001
150010201001105,0,002,001,001,002,001,004,001
150010201001106,0,002,001,001,002,001,004,001
150010201001107,0,002,001,001,002,001,004,001
150010201001108,0,002,001,001,002,001,004,001
150010201001109,0,002,001,001,002,001,004,001
150010201001110,10,002,001,001,002,001,004,001
150010201001111,2,002,001,001,002,001,004,001
150010201001112,0,002,001,001,002,001,004,001
150010201001113,0,002,001,001,002,001,004,001
150010201001114,2,002,001,001,002,001,004,001
150010201001115,12,002,001,001,002,001,004,001
150010201001116,0,002,001,001,002,001,004,001
150010201001117,0,002,001,001,002,001,004,001
150010201001118,0,002,001,001,002,001,004,001
150010201001119,0,002,001,001,002,001,004,001
150010201001120,0,002,001,001,002,001,004,001
150010201001121,0,002,001,001,002,001,004,001
150010201001122,0,002,001,001,002,001,004,001
150010201001123,0,002,001,001,002,001,004,001
150010201001124,0,002,001,001,002,001,004,001
150010201001125,0,002,001,001,002,001,004,001
150010201001126,0,002,001,001,002,001,004,001
150010201001127,0,002,001,001,002,001,004,001
150010201001128,0,002,001,001,002,001,004,001
150010201001129,0,002,001,001,002,001,004,001
150010201001130,0,002,001,001,002,001,004,001
150010201001131,1,002,001,001,002,001,004,001
150010201001132,2,002,001,001,002,001,004,001
150010201001133,4,002,001,001,002,001,004,001
150010201001134,0,002,001,001,002,001,004,001
150010201001135,0,002,001,001,002,001,004,001
150010201001136,0,002,001,001,002,001,004,001
150010201001137,0,002,001,001,002,001,004,001
150010201001138,0,002,001,001,002,001,004,001
150010201001139,0,002,001,001,002,001,004,001
150010201001140,2,002,001,001,002,001,004,001
150010201001141,0,002,001,001,002,001,004,001
150010201001142,0,002,001,001,002,001,004,001
150010201001143,0,002,001,001,002,001,004,001
150010201001144,0,002,001,001,002,001,004,001
150010201001145,0,002,001,001,002,001,004,001
150010201001146,0,002,001,001,002,001,004,001
150010201001147,0,002,001,001,002,001,004,001
150010201001148,0,002,001,001,002,001,004,001
150010201001149,0,002,001,001,002,001,004,001
150010201001150,0,002,001,001,002,001,004,001
150010201001151,0,002,001,001,002,001,004,001
150010201001152,7,002,001,001,002,001,004,001
150010201001153,0,002,001,001,002,001,004,001
150010201001154,0,002,001,001,002,001,004,001
150010201001155,37,002,001,001,002,001,004,001
150010201001156,0,002,001,001,002,001,004,001
150010201001157,0,002,001,001,002,001,004,001
150010201001158,276,002,001,001,002,001,004,001
150010201001159,0,002,001,001,002,001,004,001
150010201001160,116,002,001,001,002,001,004,001
150010201001161,3,002,001,001,002,001,004,001
150010201001162,49,002,001,001,002,001,004,001
150010201001163,165,002,001,001,002,001,004,001
150010201001164,67,002,001,001,002,001,004,001
150010201001165,21,002,001,001,002,001,004,001
150010201001166,112,002,001,001,002,001,004,001
150010201001167,3,002,001,001,002,001,004,001
150010201001168,28,002,001,001,002,001,004,001
150010201001169,8,002,001,001,002,001,004,001
150010201001170,36,002,001,001,002,001,004,001
150010201001171,126,002,001,001,002,001,004,001
150010201001172,59,002,001,001,002,001,004,001
150010201001173,0,002,001,001,002,001,004,001
150010201001174,0,002,001,001,002,001,004,001
150010201001175,0,002,001,001,002,001,004,001
150010201001176,0,002,001,001,002,001,004,001
150010201001177,0,002,001,001,002,001,004,001
150010201001178,11,002,001,001,002,001,004,001
150010201001179,0,002,001,001,002,001,004,001
150010201001180,0,002,001,001,002,001,004,001
150010201001181,1,002,001,001,002,001,004,001
150010201001182,0,002,001,001,002,001,004,001
150010201001183,6,002,001,001,002,001,004,001
150010201001184,1,002,001,001,002,001,004,001
150010201001185,0,002,001,001,002,001,004,001
150010201001186,0,002,001,001,002,001,004,001
150010201001187,0,002,001,001,002,001,004,001
150010201001188,0,002,001,001,002,001,004,001
150010201001189,0,002,001,001,002,001,004,001
