GEOID10,pop,sldl_2000,sldl_2016,cd_2013,sldu_2000,sldl_2013,sldl_2018,cd_2003,sldl_2010,sldu_2013,sldu_2016,sldu_2010
440010301001000,23,087,066,001,044,066,066,001,066,032,032,009
440010301001001,17,087,066,001,044,066,066,001,066,032,032,009
440010301001002,8,087,066,001,044,066,066,001,066,032,032,009
440010301001003,28,087,066,001,044,066,066,001,066,032,032,009
440010301001004,18,087,066,001,044,066,066,001,066,032,032,009
440010301001005,13,087,066,001,044,066,066,001,066,032,032,009
440010301001006,28,087,066,001,044,066,066,001,066,032,032,009
440010301001007,23,087,066,001,044,066,066,001,066,032,032,009
440010301001008,161,087,066,001,044,066,066,001,066,032,032,009
440010301001009,15,087,066,001,044,066,066,001,066,032,032,009
440010301001010,7,087,066,001,044,066,066,001,066,032,032,009
440010301001011,0,087,066,001,044,066,066,001,066,032,032,009
440010301001012,0,087,066,001,044,066,066,001,066,032,032,009
440010301001013,502,087,066,001,044,066,066,001,066,032,032,009
440010301001014,30,087,066,001,044,066,066,001,066,032,032,009
440010301001015,24,087,066,001,044,066,066,001,066,032,032,009
440010301001016,32,087,066,001,044,066,066,001,066,032,032,009
440010301001017,22,087,066,001,044,066,066,001,066,032,032,009
440010301001018,16,087,066,001,044,066,066,001,066,032,032,009
440010301001019,25,087,066,001,044,066,066,001,066,032,032,009
440010301001020,29,087,066,001,044,066,066,001,066,032,032,009
440010301001021,15,087,066,001,044,066,066,001,066,032,032,009
440010301001022,25,087,066,001,044,066,066,001,066,032,032,009
440010301001023,39,087,066,001,044,066,066,001,066,032,032,009
440010301001024,35,087,066,001,044,066,066,001,066,032,032,009
440010301001025,19,087,066,001,044,066,066,001,066,032,032,009
440010301001026,26,087,066,001,044,066,066,001,066,032,032,009
440010301001027,11,087,066,001,044,066,066,001,066,032,032,009
440010301001028,28,087,066,001,044,066,066,001,066,032,032,009
440010301001029,23,087,066,001,044,066,066,001,066,032,032,009
440010301001030,28,087,066,001,044,066,066,001,066,032,032,009
440010301001031,57,087,066,001,044,066,066,001,066,032,032,009
440010301001032,15,087,066,001,044,066,066,001,066,032,032,009
440010301001033,0,087,066,001,044,066,066,001,066,032,032,009
440010301001034,24,087,066,001,044,066,066,001,066,032,032,009
440010301001035,0,087,066,001,044,066,066,001,066,032,032,009
440010301001036,126,087,066,001,044,066,066,001,066,032,032,009
440010301002000,281,088,066,001,044,066,066,001,066,032,032,009
440010301002001,33,088,066,001,044,066,066,001,066,032,032,009
440010301002002,19,088,066,001,044,066,066,001,066,032,032,009
440010301002003,26,088,066,001,044,066,066,001,066,032,032,009
440010301002004,19,088,066,001,044,066,066,001,066,032,032,009
440010301002005,27,088,066,001,044,066,066,001,066,032,032,009
440010301002006,36,088,066,001,044,066,066,001,066,032,032,009
440010301002007,29,088,066,001,044,066,066,001,066,032,032,009
440010301002008,30,088,066,001,044,066,066,001,066,032,032,009
440010301002009,13,088,066,001,044,066,066,001,066,032,032,009
