GEOID10,pop,sldl_2000,sldl_2016,sldu_2000,sldl_2013,sldl_2018,cd_2003,sldl_2010,sldu_2013,sldu_2010,sldl_2015
500019601001000,134,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001001,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001002,102,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001003,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001004,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001005,10,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001006,57,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001007,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001008,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001009,45,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001010,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001011,2,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001012,5,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001013,174,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001014,2,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001015,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001016,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001017,3,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001018,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001019,6,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001020,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001021,6,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001022,4,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001023,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001024,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001025,74,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001026,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001027,6,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001028,3,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001029,5,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001030,20,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001031,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001032,120,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001033,8,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001034,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001035,5,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001036,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001037,3,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001038,2,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001039,24,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001040,44,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001041,17,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001042,5,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001043,6,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001044,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001045,24,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001046,31,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001047,42,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001048,13,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001049,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001050,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001051,12,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601001052,9,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002000,14,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002001,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002002,23,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002003,22,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002004,22,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002005,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002006,36,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002007,186,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002008,39,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002009,2,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002010,66,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002011,1,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002012,16,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002013,69,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002014,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002015,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002016,2,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002017,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002018,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002019,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002020,32,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002021,16,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002022,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002023,36,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002024,20,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002025,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002026,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002027,22,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002028,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002029,14,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002030,4,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002031,13,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002032,18,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002033,16,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002034,20,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002035,8,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601002036,37,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003000,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003001,8,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003002,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003003,53,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003004,0,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003005,39,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
500019601003006,8,A-2,A-4,ADD,A-4,A-4,0.0,A-4,ADD,ADD,A-4
